"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60","testValidConstructorAndSimplestForm","","","passed","","","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest",""
"","2","testCompareTo","","","passed","","","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest",""
"","2","testMultiply","","","passed","","","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest",""
"","5","testToString","","","passed","","","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest",""
"","2025","openChrome","","","broken","","","com.mycompany.w11_ktpm_unittestwithmaven.SeleniumTest","com.mycompany.w11_ktpm_unittestwithmaven.SeleniumTest",""
"","2","testAdd","","","passed","","","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest",""
"","1","testDefaultConstructor","","","passed","","","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest",""
"","2","testZeroDenominatorException","","","passed","","","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest",""
"","1","testSubtract","","","passed","","","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest",""
"","2","testDivide","","","passed","","","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest",""
"","2","testEquals","","","passed","","","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest","com.mycompany.w11_ktpm_unittestwithmaven.RationalTest",""
